"fasta[, 1]",HM.COVID19.2e0.Molecules.1.,HM.COVID19.2e0.Molecules.2.,HM.COVID19.2e1.Molecules.1.,HM.COVID19.2e1.Molecules.2.,HM.COVID19.2e2.Molecules.1.,HM.COVID19.2e2.Molecules.2.,HM.COVID19.2e3.Molecules.,HM.COVID19.2e3.Molecules.1.,HM.COVID19.2e3.Molecules.2.,HM.COVID19.2e4.Molecules.1.,HM.COVID19.2e4.Molecules.2.,HM.COVID19.2e5.Molecules.1.,HM.COVID19.2e5.Molecules.2.,HM.COVID19.2eNEG1.Molecules.1.,HM.COVID19.2eNEG1.Molecules.2.,HM35.1.,HM35.2.,HM36.1.,HM36.2.,HM37.1.,HM37.2.,HM38.1.,HM38.2.,HM39.1.,HM39.2.,HM40.1.,HM40.2.,HM41.1.,HM41.2.,HM42.1.,HM42.2.,HM43.,HM44.,HM45.,HM46.,HM47.,HM48.,HM49.,HM50.,HM51.,HM52.,HM53.,HM54.,HM55.,HM56.,HM57.,HM58.,HM59.,HM60.,HM61.,HM62.,HM63.,HM64.,HM65.,HM66.,HM67.,HM68.,HM69.,HM70.,HM71.,HM72.,HM73.,HM74.,HM75.,HM76.,HM77.,HM78.,HM79.,HM80.,HM81.,HM82.,HM83.,HM84.,NLC.HM.COVID19.2e5.Molecules.,NLC.PRO.192.Adeno.CoronaHKU1.Rhino.Entero,NLC.PRO.195.ND.,NTC.,NTC.,NTC.,NTC.,NTC.,NTC.,PRO.191.ND.1.,PRO.191.ND.2.,PRO.192.Adeno.CoronaHKU1.Rhino.Entero.1,PRO.192.Adeno.CoronaHKU1.Rhino.Entero.2,PRO.195.ND.1.,PRO.195.ND.2.,PRO.198.ND.,PRO.198.ND.1.,PRO.198.ND.2.,PRO.248.InfluenzaB.1.,PRO.248.InfluenzaB.2.,PRO.261.CoronaOC43.,PRO.261.CoronaOC43.1.,PRO.261.CoronaOC43.2.,PRO.384.InfluenzaB.Rhino.Entero.1.,PRO.384.InfluenzaB.Rhino.Entero.2.,PRO.421.CoronaHKU1.1.,PRO.421.CoronaHKU1.2.,PRO.444.CoronaOC43.1.,PRO.444.CoronaOC43.2.,PRO.448.InfluenzaAH1N1.1.,PRO.448.InfluenzaAH1N1.2.,PRO.453.Corona229E.1.,PRO.453.Corona229E.2.,PRO.472.CoronaNL63.1.,PRO.472.CoronaNL63.2.,PRO.483.InfluenzaAH3.1.,PRO.483.InfluenzaAH3.2.,PRO.497.InfluenzaAH1N1.Rhino.Entero.1.,PRO.497.InfluenzaAH1N1.Rhino.Entero.2.,PRO.590.CoronaNL63.1.,PRO.590.CoronaNL63.2.,PRO.609.Corona229E.1.,PRO.609.Corona229E.2.
MS_14468_P24L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS_14468_P34L,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS_14468_P8L,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
CMV_VR538_P64L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMV_VR538_P61L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMV_VR538_P4L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMV_VR538_P12L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMV_VR538_P18L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMV_VR538_P2L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMV_VR538_P31L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
